,0,1,2,3
0,4,"iPhone 13 Apple 128GB Estelar Tela de 6,1”, Câmera Dupla de 12MP",APPLE," 4.776,7"
1,5,"iPhone 11 Apple 128GB Branco Tela de 6,1”, Câmera Dupla de 12MP, iOS",APPLE," 4.110,0"
2,6,"iPhone 13 Apple 128GB Meia-noite Tela de 6,1”, Câmera Dupla de 12MP",APPLE," 4.776,7"
3,7,"iPhone 11 Apple 64GB branco, Tela de 6,1”, Câmera Dupla de 12MP, iOS",APPLE," 3.249,0"
4,16,"Smartphone LG K52 Vermelho 64GB, 3GB de RAM, Tela de 6.6”, Câmera Traseira Quádrupla, Android 10, Inteligência Artificial e Processador Octa-Core",LG," 1.119,0"
5,17,Lg B220 Dual Sim 32 Mb Preto 32 Mb Ram Celular Idela Idoso,LG, 2 x de 
6,18,"Celular LG Optimus L3 II Dual E435 Branco com Dual Chip,Tela de 3,2”, Android 4.1, Câmera 3MP, 3G, Wi-Fi, Rádio FM, MP3 e Bluetooth - Tim",LG, 6 x de 
7,19,>Campanha: Entrega Super Expressa,LG,deo
8,8,"Smartphone Motorola Moto G42 Azul 128GB, 4GB RAM, Tela de 6.4”, Câmera Traseira Tripla, Android 12 e Processador Octa Core Snapdragon 680",MOTOROLA," 1.099,0"
9,9,Smartphone Motorola Moto G22 Preto 128GB 4GB RAM Tela de 6.5” Câmera Traseira Quádrupla Android 12 Processador Octa Core 2.3 GHz,MOTOROLA,"1.399,00"
10,10,"Smartphone Motorola Moto G32 128GB 4GB RAM 6,5""- Preto",MOTOROLA, 10 x de
11,11,"Smartphone Motorola Moto E22 Grafite 32GB, 2GB RAM, Tela de 6.5”, Câmera Traseira Dupla, Android 12 e Processador Octa Core",MOTOROLA," 739,00 "
12,1,"Smartphone Samsung Galaxy A03 Core Preto 32GB, 2GB RAM, Câmera Traseira de 8MP, Selfie de 5MP, Tela Infinita de 6.5"" e Processador Octa Core",SAMSUNG,"799,00"
13,2,"Smartphone Samsung Galaxy A14 5G Prata 128GB, 4GB RAM, Processador OctaCore, Câmera Tripla Traseira, Selfie de 13MP, Tela Infinita de 6.6"" 90Hz",SAMSUNG," 1.149,0"
14,3,Show de Mães 3% 1P,SAMSUNG,"2.054,00"
15,12,AC > FG Brasil - Fixa 3P,XIAOMI," 1.499,9"
16,13,AC > FG Brasil - Fixa 3P,XIAOMI,deo
17,14,"Smartphone Xiaomi Redmi 9A Cinza 32GB, Tela de 6.53"", 2GB de RAM, Câmera Traseira 13MP, Android 10 e Processador Octa-Core",XIAOMI," 870,00"
18,15,"Smartphone Xiaomi Redmi Note 9 Verde 128GB, Tela de 6,53"", 4GB de RAM, Câmera Traseira Quádrupla, Android 10 e Processador Octa-Core",XIAOMI, 10 x de
